"job_id","job_title","job_location","name","salary_year_avg","job_schedule_type","job_posted_date"
226942,"Data Analyst","Anywhere","Mantys","650000.0","Full-time","2023-02-20 15:13:33"
547382,"Director of Analytics","Anywhere","Meta","336500.0","Full-time","2023-08-23 12:04:42"
552322,"Associate Director- Data Insights","Anywhere","AT&T","255829.5","Full-time","2023-06-18 16:03:12"
99305,"Data Analyst, Marketing","Anywhere","Pinterest Job Advertisements","232423.0","Full-time","2023-12-05 20:00:40"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Uclahealthcareers","217000.0","Full-time","2023-01-17 00:17:23"
168310,"Principal Data Analyst (Remote)","Anywhere","SmartAsset","205000.0","Full-time","2023-08-09 11:00:01"
731368,"Director, Data Analyst - HYBRID","Anywhere","Inclusively","189309.0","Full-time","2023-12-07 15:00:13"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Motional","189000.0","Full-time","2023-01-05 00:00:25"
1749593,"Principal Data Analyst","Anywhere","SmartAsset","186000.0","Full-time","2023-07-11 16:00:05"
387860,"ERM Data Analyst","Anywhere","Get It Recruit - Information Technology","184000.0","Full-time","2023-06-09 08:01:04"
1781684,"DTCC Data Analyst","Anywhere","Robert Half","170000.0","Full-time","2023-10-06 00:01:41"
987523,"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Anywhere","Kelly Science, Engineering, Technology & Telecom","170000.0","Contractor","2023-01-23 22:28:01"
1352513,"REMOTE Director of Data Analytics","Anywhere","A-Line Staffing Solutions","170000.0","Full-time","2023-08-09 14:02:45"
1525451,"Manager, Data Analyst","Anywhere","Uber","167000.0","Full-time","2023-04-18 07:01:17"
1246069,"Data Analyst","Anywhere","Plexus Resource Solutions","165000.0","Full-time","2023-12-08 09:16:37"
712473,"Data Analyst","Anywhere","Get It Recruit - Information Technology","165000.0","Full-time","2023-08-14 16:01:19"
1423236,"Principal Data Science Analyst- Remote","Anywhere","Mayo Clinic","164746.0","Full-time","2023-01-13 13:04:39"
1799883,"Principal Data Science Analyst- Remote","Anywhere","Mayo Clinic","164746.0","Full-time","2023-04-14 12:05:19"
618890,"Principal Data Intelligence Analyst - Cardiac - Remote","Anywhere","CEDARS-SINAI","163500.0","Full-time","2023-09-20 13:00:44"
918213,"Senior - Data Analyst","Anywhere","DIRECTV","160515.0","Full-time","2023-06-14 21:01:17"
